Number of Features,Mean Accuracy,Standard Deviation
100,0.7309084580577794,0.03860102625112302
150,0.7273581621997913,0.03913001459539199
200,0.7025408980160112,0.02984050391264142
250,0.6953706926557606,0.017788159179026892
300,0.6990114862513053,0.04321343211835864
350,0.6942777584406543,0.03160876184438698
400,0.695509919944309,0.04530514586503178
450,0.6895857988165681,0.040564046732629325
500,0.6813156978767838,0.04429494030845372
550,0.7061051166028542,0.03692997989335511
600,0.7025826662025757,0.04385031032477095
650,0.6978558997563523,0.04925258362905561
700,0.7191298294465716,0.049743162984606286
750,0.7238148277062304,0.03752534068038009
